,query,verbs,nouns,verb_cancel
3937,I have to check when will my item arrive,"have,check,arrive",item,False
3938,will you give me information about the delivery periods?,give,"information,delivery,periods",False
3939,how could I check how soon can I expect the delivery?,"check,expect",delivery,False
3940,could you help me check how soon can I expect the item?,"help,check,expect",item,False
3941,can you give me information about delivery period?,give,"information,delivery,period",False
3942,I have got to check how soon can I expect the item,"got,check,expect",item,False
3943,is it possible to check how soon can I expect the delivery?,"check,expect",delivery,False
3944,I don't know how to check when will my item arrive,"know,check,arrive",item,False
3945,I try to check when my item is going to arrive,"try,check,going,arrive",item,False
3946,I don't know how to check when my item is going to arrive,"know,check,going,arrive",item,False
3947,could you show me when my item is going to arrive?,"show,going,arrive",item,False
3948,could you help me checking how soon can I expect the item?,"help,checking,expect",item,False
3949,help me check when my item is going to arrive,"help,check,going,arrive",item,False
3950,I call to check how long the delivery takes,"call,check,takes",delivery,False
3951,could you show me when my delivery is going to arrive?,"show,going,arrive",delivery,False
3952,I do not know how to check how soon can I expect the item,"know,check,expect",item,False
3953,could I check when will my item arrive?,"check,arrive",item,False
3954,I am looking for information about the delivery periods,looking,"information,delivery,periods",False
3955,will you show me how soon can I expect the delivery?,"show,expect",delivery,False
3956,where can I find information about delivery period?,find,"information,delivery,period",False
3957,can I check when will my item arrive?,"check,arrive",item,False
3958,help me to check how soon can I expect the delivery,"help,check,expect",delivery,False
3959,could you help me to check how soon can I expect the item?,"help,check,expect",item,False
3960,will you show me how soon can I expect the item?,"show,expect",item,False
3961,help checking how soon can I expect the delivery,"help,checking,expect",delivery,False
3962,how to check how long the delivery takes?,"check,takes",delivery,False
3963,I am trying to find information about the delivery period,"trying,find","information,delivery,period",False
3964,where could I check when my item is going to arrive?,"check,going,arrive",item,False
3965,I try to check when will my item arrive,"try,check,arrive",item,False
3966,how to check when my delivery is going to arrive?,"check,going,arrive",delivery,False
3967,can you show me how soon can I expect the item?,"show,expect",item,False
3968,I need to check when will my item arrive,"need,check,arrive",item,False
3969,I need help checking when will my item arrive,"need,checking,arrive","help,item",False
3970,find information about the delivery periods,find,"information,delivery,periods",False
3971,I want to know more about delivery period,"want,know","delivery,period",False
3972,could you help me checking when my item is going to arrive?,"help,checking,going,arrive",item,False
3973,would it be possible to check when will my item arrive?,"check,arrive",item,False
3974,could you help me check how long the delivery takes?,"help,check,takes",delivery,False
3975,could you tell me about the delivery periods?,tell,"delivery,periods",False
3976,help me to check how long the delivery takes,"help,check,takes",delivery,False
3977,I need assistance checking how soon can I expect the item,"need,checking,expect","assistance,item",False
3978,I would like to check how long the delivery takes,"like,check,takes",delivery,False
3979,I would like to check how soon can I expect the delivery,"like,check,expect",delivery,False
3980,where could I check how soon can I expect the item?,"check,expect",item,False
3981,could I check when my item is going to arrive?,"check,going,arrive",item,False
3982,I need information about the delivery periods,need,"information,delivery,periods",False
3983,I try to check how soon can I expect the item,"try,check,expect",item,False
3984,can you tell me more about the delivery periods?,tell,"delivery,periods",False
3985,I want to know about the delivery periods,"want,know","delivery,periods",False
3986,I need assistance to check when will my item arrive,"need,check,arrive","assistance,item",False
3987,I call to check how soon can I expect the item,"call,check,expect",item,False
3988,where can I get information about delivery period?,get,"information,delivery,period",False
3989,I am trying to find information about delivery period,"trying,find","information,delivery,period",False
3990,I need assistance to check how long the delivery takes,"need,check,takes","assistance,delivery",False
3991,I would like to check when my delivery is going to arrive,"like,check,going,arrive",delivery,False
3992,I am trying to find delivery periods,"trying,find","delivery,periods",False
3993,how can I get information about the delivery period?,get,"information,delivery,period",False
3994,delivery period,,"delivery,period",False
3995,can you show me when will my item arrive?,"show,arrive",item,False
3996,I want help to check when my item is going to arrive,"want,check,going,arrive","help,item",False
3997,where do I check how long the delivery takes?,"check,takes",delivery,False
3998,I need to check when my item is going to arrive,"need,check,going,arrive",item,False
3999,show me how long the delivery takes,"show,takes",delivery,False
4000,show me how soon can I expect the item,"show,expect",item,False
4001,I need help checking when my item is going to arrive,"need,checking,going,arrive","help,item",False
4002,tell me about the delivery period,tell,"delivery,period",False
4003,I would like to know more about the delivery period,"like,know","delivery,period",False
4004,is it possible to check when will my item arrive?,"check,arrive",item,False
4005,I would like to know about the delivery periods,"like,know","delivery,periods",False
4006,I am trying to check when my delivery is going to arrive,"trying,check,going,arrive",delivery,False
4007,where could I find information about delivery periods?,find,"information,delivery,periods",False
4008,can you tell me about the delivery period?,tell,"delivery,period",False
4009,will you give me information about the delivery period?,give,"information,delivery,period",False
4010,I need help to check when my item is going to arrive,"need,check,going,arrive","help,item",False
4011,could you tell me about delivery period?,tell,"delivery,period",False
4012,I have to check when my delivery is going to arrive,"have,check,going,arrive",delivery,False
4013,I am looking for the delivery period,looking,"delivery,period",False
4014,I need help checking when my delivery is going to arrive,"need,checking,going,arrive","help,delivery",False
4015,would you give me information about delivery periods?,give,"information,delivery,periods",False
4016,I try to check how soon can I expect the delivery,"try,check,expect",delivery,False
4017,could I check how soon can I expect the delivery?,"check,expect",delivery,False
4018,could you help me check when my delivery is going to arrive?,"help,check,going,arrive",delivery,False
4019,I need to check when my delivery is going to arrive,"need,check,going,arrive",delivery,False
4020,I don't know how I could check when will my item arrive,"know,check,arrive",item,False
4021,where could I check how long the delivery takes?,"check,takes",delivery,False
4022,give me information about the delivery period,give,"information,delivery,period",False
4023,I want help to check when will my item arrive,"want,check,arrive","help,item",False
4024,could you tell me more about the delivery periods?,tell,"delivery,periods",False
4025,tell me more about delivery period,tell,"delivery,period",False
4026,can you help me checking how long the delivery takes?,"help,checking,takes",delivery,False
4027,I would like information about delivery periods,like,"information,delivery,periods",False
4028,can you help me check when will my item arrive?,"help,check,arrive",item,False
4029,could you tell me about the delivery period?,tell,"delivery,period",False
4030,I have to check how soon can I expect the item,"have,check,expect",item,False
4031,I am trying to check how soon can I expect the item,"trying,check,expect",item,False
4032,where to check how long the delivery takes?,"check,takes",delivery,False
4033,I am calling to check when my item is going to arrive,"calling,check,going,arrive",item,False
4034,where can I get information about the delivery period?,get,"information,delivery,period",False
4035,I need information about the delivery period,need,"information,delivery,period",False
4036,can you help me check how soon can I expect the item?,"help,check,expect",item,False
4037,I would like information about the delivery period,like,"information,delivery,period",False
4038,I have to check how long the delivery takes,"have,check,takes",delivery,False
4039,help me to check when my item is going to arrive,"help,check,going,arrive",item,False
4040,where could I find information about delivery period?,find,"information,delivery,period",False
4041,I want to know more about the delivery period,"want,know","delivery,period",False
4042,how long does the delivery take?,take,delivery,False
4043,how could I get information about delivery periods?,get,"information,delivery,periods",False
4044,I want to check when will my item arrive,"want,check,arrive",item,False
4045,I want to check how long the delivery takes,"want,check,takes",delivery,False
4046,could you help me check when will my item arrive?,"help,check,arrive",item,False
4047,where to check when will my item arrive?,"check,arrive",item,False
4048,where can I find information about the delivery period?,find,"information,delivery,period",False
4049,can you tell me more about delivery period?,tell,"delivery,period",False
4050,I do not know how to check how long the delivery takes,"know,check,takes",delivery,False
4051,how can I check how long the delivery takes?,"check,takes",delivery,False
4052,I want help checking when my item is going to arrive,"want,checking,going,arrive","help,item",False
4053,help me to check when will my item arrive,"help,check,arrive",item,False
4054,I do not know how I could check how long the delivery takes,"know,check,takes",delivery,False
4055,I am calling to check how soon can I expect the delivery,"calling,check,expect",delivery,False
4056,how could I check when my delivery is going to arrive?,"check,going,arrive",delivery,False
4057,assistance to check when my item is going to arrive,"check,going,arrive","assistance,item",False
4058,I call to check when will my item arrive,"call,check,arrive",item,False
4059,give me information about delivery periods,give,"information,delivery,periods",False
4060,could you show me when will my item arrive?,"show,arrive",item,False
4061,can you help me checking when my item is going to arrive?,"help,checking,going,arrive",item,False
4062,how to check when will my item arrive?,"check,arrive",item,False
4063,how could I get information about delivery period?,get,"information,delivery,period",False
4064,how can I get information about delivery period?,get,"information,delivery,period",False
4065,I am looking for information about the delivery period,looking,"information,delivery,period",False
4066,can you help me check how long the delivery takes?,"help,check,takes",delivery,False
4067,I am calling to check how long the delivery takes,"calling,check,takes",delivery,False
4068,where do I check when my item is going to arrive?,"check,going,arrive",item,False
4069,help to check how soon can I expect the delivery,"help,check,expect",delivery,False
4070,how can I check when my item is going to arrive?,"check,going,arrive",item,False
4071,I try to check how long the delivery takes,"try,check,takes",delivery,False
4072,I need assistance checking when will my item arrive,"need,checking,arrive","assistance,item",False
4073,can you help me check how soon can I expect the delivery?,"help,check,expect",delivery,False
4074,where can I check how soon can I expect the item?,"check,expect",item,False
4075,would it be possible to check how long the delivery takes?,"check,takes",delivery,False
4076,I need assistance checking how long the delivery takes,"need,checking,takes","assistance,delivery",False
4077,I am trying to check how long the delivery takes,"trying,check,takes",delivery,False
4078,could you tell me more about the delivery period?,tell,"delivery,period",False
4079,assistance to check how soon can I expect the delivery,"check,expect","assistance,delivery",False
4080,I want help to check when my delivery is going to arrive,"want,check,going,arrive","help,delivery",False
4081,I would like information about delivery period,like,"information,delivery,period",False
4082,where can I check when my item is going to arrive?,"check,going,arrive",item,False
4083,could you give me information about the delivery periods?,give,"information,delivery,periods",False
4084,can you tell me about the delivery periods?,tell,"delivery,periods",False
4085,how can I find information about the delivery period?,find,"information,delivery,period",False
4086,assistance to check how long the delivery takes,"check,takes","assistance,delivery",False
4087,assistance to check how soon can I expect the item,"check,expect","assistance,item",False
4088,I would like to check how soon can I expect the item,"like,check,expect",item,False
4089,where to check when my delivery is going to arrive?,"check,going,arrive",delivery,False
4090,I want assistance to check when will my item arrive,"want,check,arrive","assistance,item",False
4091,when is my item going to arrive?,"going,arrive",item,False
4092,I don't know how to check how soon can I expect the delivery,"know,check,expect",delivery,False
4093,I need help to check how soon can I expect the item,"need,check,expect","help,item",False
4094,can you give me information about delivery periods?,give,"information,delivery,periods",False
4095,would you give me information about the delivery period?,give,"information,delivery,period",False
4096,assistance checking how long the delivery takes,"checking,takes","assistance,delivery",False
4097,how could I find information about the delivery periods?,find,"information,delivery,periods",False
4098,I want assistance to check how long the delivery takes,"want,check,takes","assistance,delivery",False
4099,where could I find information about the delivery periods?,find,"information,delivery,periods",False
4100,information about the delivery period,,"information,delivery,period",False
4101,I want to check when my delivery is going to arrive,"want,check,going,arrive",delivery,False
4102,could you show me how soon can I expect the delivery?,"show,expect",delivery,False
4103,I want assistance checking how long the delivery takes,"want,checking,takes","assistance,delivery",False
4104,I want help to check how long the delivery takes,"want,check,takes","help,delivery",False
4105,can I check when my item is going to arrive?,"check,going,arrive",item,False
4106,tell me about delivery period,tell,"delivery,period",False
4107,how do I check how long the delivery takes?,"check,takes",delivery,False
4108,I am calling to check when will my item arrive,"calling,check,arrive",item,False
4109,how do I check when my item is going to arrive?,"check,going,arrive",item,False
4110,where can I check when will my item arrive?,"check,arrive",item,False
4111,how can I check how soon can I expect the delivery?,"check,expect",delivery,False
4112,assistance checking when my item is going to arrive,"checking,going,arrive","assistance,item",False
4113,where could I find information about the delivery period?,find,"information,delivery,period",False
4114,can you tell me more about the delivery period?,tell,"delivery,period",False
4115,would you give me information about the delivery periods?,give,"information,delivery,periods",False
4116,how can I get information about the delivery periods?,get,"information,delivery,periods",False
4117,could you tell me more about delivery periods?,tell,"delivery,periods",False
4118,could you show me how long the delivery takes?,"show,takes",delivery,False
4119,would you give me information about delivery period?,give,"information,delivery,period",False
4120,where to check how soon can I expect the delivery?,"check,expect",delivery,False
4121,how can I check when will my item arrive?,"check,arrive",item,False
4122,will you give me information about delivery period?,give,"information,delivery,period",False
4123,where could I check when will my item arrive?,"check,arrive",item,False
4124,could you help me checking when will my item arrive?,"help,checking,arrive",item,False
4125,can you show me how soon can I expect the delivery?,"show,expect",delivery,False
4126,I am trying to find information about delivery periods,"trying,find","information,delivery,periods",False
4127,is it possible to check how long the delivery takes?,"check,takes",delivery,False
4128,can you help me to check how soon can I expect the delivery?,"help,check,expect",delivery,False
4129,I want assistance checking how soon can I expect the item,"want,checking,expect","assistance,item",False
4130,I call to check when my delivery is going to arrive,"call,check,going,arrive",delivery,False
4131,I want to check how soon can I expect the item,"want,check,expect",item,False
4132,I need assistance checking when my item is going to arrive,"need,checking,going,arrive","assistance,item",False
4133,where could I get information about the delivery periods?,get,"information,delivery,periods",False
4134,I am looking for delivery period,looking,"delivery,period",False
4135,I am calling to check when my delivery is going to arrive,"calling,check,going,arrive",delivery,False
4136,will you show me how long the delivery takes?,"show,takes",delivery,False
4137,I call to check when my item is going to arrive,"call,check,going,arrive",item,False
4138,could you tell me about delivery periods?,tell,"delivery,periods",False
4139,tell me more about the delivery periods,tell,"delivery,periods",False
4140,I am looking for the delivery periods,looking,"delivery,periods",False
4141,can you tell me about delivery period?,tell,"delivery,period",False
4142,show me when my delivery is going to arrive,"show,going,arrive",delivery,False
4143,I want information about the delivery period,want,"information,delivery,period",False
4144,where could I check when my delivery is going to arrive?,"check,going,arrive",delivery,False
4145,help me check when will my item arrive,"help,check,arrive",item,False
4146,I am calling to check how soon can I expect the item,"calling,check,expect",item,False
4147,I would like information about the delivery periods,like,"information,delivery,periods",False
4148,help me checking how long the delivery takes,"help,checking,takes",delivery,False
4149,I need information about delivery periods,need,"information,delivery,periods",False
4150,can you help me to check when my item is going to arrive?,"help,check,going,arrive",item,False
4151,what is the delivery period for this order?,,"delivery,period,order",False
4152,I would like to know about delivery periods,"like,know","delivery,periods",False
4153,show me how long it usually takes for the delivery to arrive,"show,takes,arrive",delivery,False
4154,can I check how soon can I expect the item?,"check,expect",item,False
4155,I have to check how soon can I expect the delivery,"have,check,expect",delivery,False
4156,I need help to check when my delivery is going to arrive,"need,check,going,arrive","help,delivery",False
4157,how could I find information about delivery periods?,find,"information,delivery,periods",False
4158,I do not know how to check when my item is going to arrive,"know,check,going,arrive",item,False
4159,where can I check how soon can I expect the delivery?,"check,expect",delivery,False
4160,help me to check how soon can I expect the item,"help,check,expect",item,False
4161,how can I find information about delivery periods?,find,"information,delivery,periods",False
4162,help me check how long the delivery takes,"help,check,takes",delivery,False
4163,where could I check how soon can I expect the delivery?,"check,expect",delivery,False
4164,help checking when will my item arrive,"help,checking,arrive",item,False
4165,assistance checking when will my item arrive,"checking,arrive","assistance,item",False
4166,show me how soon can I expect the delivery,"show,expect",delivery,False
4167,I would like to check when will my item arrive,"like,check,arrive",item,False
4168,I need help checking how long the delivery takes,"need,checking,takes","help,delivery",False
4169,how can I check how soon can I expect the item?,"check,expect",item,False
4170,how to check how soon can I expect the item?,"check,expect",item,False
4171,where can I get information about delivery periods?,get,"information,delivery,periods",False
4172,help me check how soon can I expect the delivery,"help,check,expect",delivery,False
4173,where can I check how long the delivery takes?,"check,takes",delivery,False
4174,help checking when my delivery is going to arrive,"help,checking,going,arrive",delivery,False
4175,I need to check how long the delivery takes,"need,check,takes",delivery,False
4176,where could I get information about the delivery period?,get,"information,delivery,period",False
4177,can you help me check when my delivery is going to arrive?,"help,check,going,arrive",delivery,False
4178,where to check how soon can I expect the item?,"check,expect",item,False
4179,I want information about delivery periods,want,"information,delivery,periods",False
4180,I want information about delivery period,want,"information,delivery,period",False
4181,how could I get information about the delivery periods?,get,"information,delivery,periods",False
4182,I want assistance checking when my item is going to arrive,"want,checking,going,arrive","assistance,item",False
4183,I need help to check how long the delivery takes,"need,check,takes","help,delivery",False
4184,I don't know how I can check how long the delivery takes,"know,check,takes",delivery,False
4185,I am looking for delivery periods,looking,"delivery,periods",False
4186,I am looking for information about delivery period,looking,"information,delivery,period",False
4187,find information about the delivery period,find,"information,delivery,period",False
4188,I would like to know more about the delivery periods,"like,know","delivery,periods",False
4189,how long does it usually take for an item to arrive?,"take,arrive",item,False
4190,I want to know more about delivery periods,"want,know","delivery,periods",False
4191,I want to know about the delivery period,"want,know","delivery,period",False
4192,I would like to know more about delivery period,"like,know","delivery,period",False
4193,help to check when my item is going to arrive,"help,check,going,arrive",item,False
4194,is it possible to check when my delivery is going to arrive?,"check,going,arrive",delivery,False
4195,I am trying to find the delivery period,"trying,find","delivery,period",False
4196,I am trying to find the delivery periods,"trying,find","delivery,periods",False
4197,I want assistance checking when will my item arrive,"want,checking,arrive","assistance,item",False
4198,I have got to check when will my item arrive,"got,check,arrive",item,False
4199,where can I get information about the delivery periods?,get,"information,delivery,periods",False
4200,I do not know how to check when will my item arrive,"know,check,arrive",item,False
4201,could you help me to check how long the delivery takes?,"help,check,takes",delivery,False
4202,I need help to check when will my item arrive,"need,check,arrive","help,item",False
4203,can you tell me about delivery periods?,tell,"delivery,periods",False
4204,how can I find information about the delivery periods?,find,"information,delivery,periods",False
4205,I am trying to check how soon can I expect the delivery,"trying,check,expect",delivery,False
4206,I am looking for information about delivery periods,looking,"information,delivery,periods",False
4207,I need assistance to check when my item is going to arrive,"need,check,going,arrive","assistance,item",False
4208,I don't know how I can check how soon can I expect the item,"know,check,expect",item,False
4209,assistance checking how soon can I expect the delivery,"checking,expect","assistance,delivery",False
4210,I don't know how I could check how long the delivery takes,"know,check,takes",delivery,False
4211,can you help me checking when will my item arrive?,"help,checking,arrive",item,False
4212,help me checking when my delivery is going to arrive,"help,checking,going,arrive",delivery,False
4213,how to check when my item is going to arrive?,"check,going,arrive",item,False
4214,how soon can I expect the item?,expect,item,False
4215,tell me more about the delivery period,tell,"delivery,period",False
4216,where do I check when my delivery is going to arrive?,"check,going,arrive",delivery,False
4217,tell me about the delivery periods,tell,"delivery,periods",False
4218,help me to check when my delivery is going to arrive,"help,check,going,arrive",delivery,False
4219,where do I check how soon can I expect the item?,"check,expect",item,False
4220,I do not know how I could edit the information on my account,"know,edit","information,account",False
4221,could I edit my personal information?,edit,information,False
4222,I want help editing my personal information,"want,editing","help,information",False
4223,i do not know what i have to do to edit the user information,"know,have,do,edit","user,information",False
4224,help me to edit my personal information,"help,edit",information,False
4225,I don't know how I can edit my account,"know,edit",account,False
4226,what do I have to do to edit my personal information?,"have,do,edit",information,False
4227,"I have to change the data on my profile, help me","have,change,help","data,profile",False
4228,I do not know how to edit my personal information,"know,edit",information,False
4229,i do not know what to do to correct the personal ingo,"know,do,correct",ingo,False
4230,i do not know what to do to change my user data,"know,do,change","user,data",False
4231,how to change the personal data?,change,data,False
4232,I have got to edit my account,"got,edit",account,False
4233,how do I edit my personal information?,edit,information,False
4234,I need help editing my account,"need,editing","help,account",False
4235,I need to edit my personal information,"need,edit",information,False
4236,how do I edit the information on my account?,edit,"information,account",False
4237,I am trying to edit my account,"trying,edit",account,False
4238,I don't know what I need to do to correct my user details,"know,need,do,correct","user,details",False
4239,can you hepl me correct the details on my profile?,"hepl,correct","details,profile",False
4240,I want help to edit my account,"want,edit","help,account",False
4241,can you help me edit the information on my account?,"help,edit","information,account",False
4242,would it be possible to edit my personal information?,edit,information,False
4243,i donot know what i have to do to edit the personal info,"know,have,do,edit",info,False
4244,help me modify the data included on my user profile,"help,modify,included","data,user,profile",False
4245,I don't know how I can edit the information on my account,"know,edit","information,account",False
4246,I do not know what to do to edit my personal information,"know,do,edit",information,False
4247,I want assistance to edit my personal information,"want,edit","assistance,information",False
4248,I want to edit the information on my account,"want,edit","information,account",False
4249,I want assistance editing my account,"want,editing","assistance,account",False
4250,can ya help me to modify the data included on my profile,"help,modify,included","data,profile",False
4251,I don't know how I could edit the information on my account,"know,edit","information,account",False
4252,"I have to correct my user information, how can I do it?","have,correct,do","user,information",False
4253,I would like to edit my personal information,"like,edit",information,False
4254,I don't know how I could edit my account,"know,edit",account,False
4255,I have to edit the information on my account,"have,edit","information,account",False
4256,I am trying to edit the information on my account,"trying,edit","information,account",False
4257,"I want to change my personal info, how can I do it?","want,change,do",info,False
4258,I have to correct the details on my user profile,"have,correct","details,user,profile",False
4259,I try to edit the information on my account,"try,edit","information,account",False
4260,I need help editing my personal information,"need,editing","help,information",False
4261,is it possible to edit my account?,edit,account,False
4262,can uhelp me edit my online account,"uhelp,edit",account,False
4263,help to edit my account,"help,edit",account,False
4264,assistance editing my personal information,editing,"assistance,information",False
4265,how to edit my account?,edit,account,False
4266,how to edit my online profile?,edit,"online,profile",False
4267,help editing my personal information,"help,editing",information,False
4268,want help updating the info on my user profile,"help,updating","info,user,profile",False
4269,i do not know what to do to edit the data on my profile,"know,do,edit","data,profile",False
4270,I want assistance changing my personal details,"want,changing","assistance,details",False
4271,help me to edit the data on my account,"help,edit","data,account",False
4272,I don't know how to edit my account,"know,edit",account,False
4273,I need assistance editing the information on my account,"need,editing","assistance,information,account",False
4274,can you help me edit my account?,"help,edit",account,False
4275,could you help me editing my account?,"help,editing",account,False
4276,I need help correcting some of the details on my account,"need,correcting","help,details,account",False
4277,help to edit some of the details on my profile,"help,edit","details,profile",False
4278,I want assistance to edit my account,"want,edit","assistance,account",False
4279,I have to modify the data included on my user account,"have,modify,included","data,user,account",False
4280,could you help me edit the information on my account?,"help,edit","information,account",False
4281,I don't know how to update my personal edtails,"know,update",edtails,False
4282,i want help updating some or my user details,"want,help,updating","user,details",False
4283,I need help to edit the details included on my user account,"need,edit,included","help,details,user,account",False
4284,could you help me to edit my personal information?,"help,edit",information,False
4285,I need help to modify the information included on my profile,"need,modify,included","help,information,profile",False
4286,can you help me editing the information on my account?,"help,editing","information,account",False
4287,I do not know how to correct the details on my account,"know,correct","details,account",False
4288,I need assistance correcting my user information,"need,correcting","assistance,user,information",False
4289,need help to change my bloody personal details,"need,change","help,details",False
4290,is it possible to edit the info included on my account?,"edit,included","info,account",False
4291,help me edit the information on my account,"help,edit","information,account",False
4292,how can I edit my personal information?,edit,information,False
4293,I try to correct my personal information,"try,correct",information,False
4294,help me change the information on my account,"help,change","information,account",False
4295,i have to update some of the details included on my account,"have,update,included","details,account",False
4296,I try to change the information on my user account,"try,change","information,user,account",False
4297,is it possible to edit my personal information?,edit,information,False
4298,is it possible to correct my personal details?,correct,details,False
4299,edit information on account,edit,"information,account",False
4300,help editing the information on my account,"help,editing","information,account",False
4301,I don't know what to do to edit my account,"know,do,edit",account,False
4302,wanna modify the information on my account,modify,"information,account",False
4303,how could I edit my account?,edit,account,False
4304,what do I need to do to change the user details?,"need,do,change","user,details",False
4305,what do I have to do to correct the personal details?,"have,do,correct",details,False
4306,"I need to edit my user details, how can I do it?","need,edit,do","user,details",False
4307,wanna update the fucking details on my profile  help me,"update,help","details,profile",False
4308,I want help to update my profile,"want,update","help,profile",False
4309,I have got to edit my personal information,"got,edit",information,False
4310,could you help me editing the information on my account?,"help,editing","information,account",False
4311,need assistance to modify the personal information,"need,modify","assistance,information",False
4312,can you help me editing my account?,"help,editing",account,False
4313,what do I need to do to edit my personal information?,"need,do,edit",information,False
4314,I want help to edit the information on my account,"want,edit","help,information,account",False
4315,I don't know what I have to do to edit my account,"know,have,do,edit",account,False
4316,how do I correct the info on my user account?,correct,"info,user,account",False
4317,moidfying user details,moidfying,"user,details",False
4318,I do not know how to edit the information on my account,"know,edit","information,account",False
4319,I don't know how I could edit my personal information,"know,edit",information,False
4320,I need assistance to edit the information on my account,"need,edit","assistance,information,account",False
4321,I do not know how to edit my account,"know,edit",account,False
4322,I do not know how I can edit my account,"know,edit",account,False
4323,"I have got to modify my online account, how can I do it?","got,modify,do",account,False
4324,editing information on account,editing,"information,account",False
4325,i do not know what to do to edit my user information,"know,do,edit","user,information",False
4326,assistance to edit the information on my account,edit,"assistance,information,account",False
4327,editing account,editing,account,False
4328,I do not know how I can edit my personal information,"know,edit",information,False
4329,I need help to edit my personal information,"need,edit","help,information",False
4330,help me modify some of the details on my profile,"help,modify","details,profile",False
4331,"I want to change the details on my profile, I need help","want,change,need","details,profile,help",False
4332,i have got to edit the goddamn info on my user profile,"got,edit","info,user,profile",False
4333,need to change the info on my user profile,"need,change","info,user,profile",False
4334,could I edit my account?,edit,account,False
4335,can you help me edit my personal information?,"help,edit",information,False
4336,I do not know how to correct the user info,"know,correct","user,info",False
4337,I am trying to edit my personal information,"trying,edit",information,False
4338,i do not know how i can correct the data on my user profile,"know,correct","data,user,profile",False
4339,how can I edit my account?,edit,account,False
4340,what do I have to do to correct my personla information?,"have,do,correct","personla,information",False
4341,how to edit the information on my account?,edit,"information,account",False
4342,chnage details on profile,,"details,profile",False
4343,I do not know how I could edit my account,"know,edit",account,False
4344,i want help to edit the info on my account,"want,edit","help,info,account",False
4345,wanna correct the details on my account,"wanna,correct","details,account",False
4346,how do i edit the details on my accont,edit,"details,accont",False
4347,want help modifying my user account,"help,modifying","user,account",False
4348,I do not knbow how to correct the info on my profile,"knbow,correct","info,profile",False
4349,help me editing the information on my account,"help,editing","information,account",False
4350,want assistance to change the personal informtaion,"want,change","assistance,informtaion",False
4351,how do I update some of the details on my user account ?,update,"details,user,account",False
4352,i need assistance to update the user details,"need,update","assistance,user,details",False
4353,I don't know how I can update my user account,"know,update","user,account",False
4354,what do I have to do to edit the information on my account?,"have,do,edit","information,account",False
4355,"I want to update the information on my user account, help me","want,update,help","information,user,account",False
4356,help me to change the info included on my account,"help,change,included","info,account",False
4357,update information on user profile,update,"information,user,profile",False
4358,can I edit my personal information?,edit,information,False
4359,I want assistance editing my personal information,"want,editing","assistance,information",False
4360,would it be possible to edit my account?,edit,account,False
4361,I don't know how to edit the information on my account,"know,edit","information,account",False
4362,can you help me to change the user information?,"help,change","user,information",False
4363,I am trying to edit the details included on my user profile,"trying,edit,included","details,user,profile",False
4364,i need assistance to update the user data,"need,update","assistance,user,data",False
4365,i need help to modify my personal information,"need,modify","help,information",False
4366,help to modify the personal informatoin,"help,modify",,False
4367,could you help me edit my account?,"help,edit",account,False
4368,I want to edit my personal information,"want,edit",information,False
4369,can you help me editing my personal information?,"help,editing",information,False
4370,I want help editing my account,"want,editing","help,account",False
4371,could you help me to edit my account?,"help,edit",account,False
4372,how to change the data on my profile?,change,"data,profile",False
4373,need to change the info on my profile,"need,change","info,profile",False
4374,assistance editing my account,editing,"assistance,account",False
4375,edit account,edit,account,False
4376,help editing my account,"help,editing",account,False
4377,how can i change some of my user details,change,"user,details",False
4378,help me edit my personal information,"help,edit",information,False
4379,i do not know what to do to update the fucking user info,"know,do,update","user,info",False
4380,"I need to update my account, how do I do it?","need,update,do",account,False
4381,help me to edit the bloody info included on my user profile,"help,edit,included","info,user,profile",False
4382,can you help me modifying the data on my profile?,"help,modifying","data,profile",False
4383,could I edit the information on my account?,edit,"information,account",False
4384,I have got to edit the information on my account,"got,edit","information,account",False
4385,how can I edit the information on my account?,edit,"information,account",False
4386,editing personal information,editing,information,False
4387,"I have got to modify some of my personal details , help me","got,modify,help",details,False
4388,"I want to update my online profile, how do I od it?","want,update","online,profile",False
4389,is it possible to edit the information on my account?,edit,"information,account",False
4390,I want help editing the information on my account,"want,editing","help,information,account",False
4391,need to update some of my bloody personal details,"need,update",details,False
4392,I want assistance editing the information on my account,"want,editing","assistance,information,account",False
4393,I need help modifying my personal details,"need,modifying","help,details",False
4394,editing info on profile,editing,"info,profile",False
4395,i do not know what i have to do to correct the user data,"know,have,do,correct","user,data",False
4396,i do not know what to do to change my damn personal info,"know,do,change",info,False
4397,could you help me editing my personal information?,"help,editing",information,False
4398,how to update the information on my profile,update,"information,profile",False
4399,help updating the data on my user profile,"help,updating","data,user,profile",False
4400,I want help to edit my personal information,"want,edit","help,information",False
4401,I need help to edit my account,"need,edit","help,account",False
4402,can you help me correcting the personal data?,"help,correcting",data,False
4403,i do not know what i have to do to modify my account,"know,have,do,modify",account,False
4404,assistance to edit my account,edit,"assistance,account",False
4405,help me modifying my personal information,"help,modifying",information,False
4406,would it be possible to edit the information on my account?,edit,"information,account",False
4407,how could I edit my personal information?,edit,information,False
4408,how to correct the info on my profile,correct,"info,profile",False
4409,how do I update the information on my user profile?,update,"information,user,profile",False
4410,I want to edit my account,"want,edit",account,False
4411,can you help me to edit the information on my account?,"help,edit","information,account",False
4412,how can I correct the data on my user profile?,correct,"data,user,profile",False
4413,i do not know what to d to update my personal info,"know,d,update",info,False
4414,I need to edit my account,"need,edit",account,False
