,query,verbs,nouns,verb_noun,cancel_noun_verb
5165,I need help to subscribe to the corporate newsletter,"need,subscribe","help,newsletter","need,subscribe,help,newsletter",FALSE
5166,I need help signing up to the company newsletter,"need,signing","help,company,newsletter","need,signing,help,company,newsletter",FALSE
5167,sign up to tbe corporate newsletter,sign,newsletter,"sign,newsletter",FALSE
5168,I need assistance subscribing to your company newsletter,"need,subscribing","assistance,company,newsletter","need,subscribing,assistance,company,newsletter",FALSE
5169,how do I subscribe to your company newsletter?,subscribe,"company,newsletter","subscribe,company,newsletter",FALSE
5170,how can I cancel the company newsletter subscription?,cancel,"company,newsletter,subscription","cancel,company,newsletter,subscription",TRUE
5171,could you help me subscribing to the company newsletter?,"help,subscribing","company,newsletter","help,subscribing,company,newsletter",FALSE
5172,I don't know how to sign up to the damn newsletter,"know,sign",newsletter,"know,sign,newsletter",FALSE
5173,"I want to sign up to hte newsletter, help me","want,sign,help",newsletter,"want,sign,help,newsletter",FALSE
5174,can you help me subscribing to your company newsletter?,"help,subscribing","company,newsletter","help,subscribing,company,newsletter",FALSE
5175,can I cancel the company newsletter subscription?,cancel,"company,newsletter,subscription","cancel,company,newsletter,subscription",TRUE
5176,I want to cancel the subscription to your newsletter,"want,cancel","subscription,newsletter","want,cancel,subscription,newsletter",TRUE
5177,I do not know how to subscribe to your company newsletter,"know,subscribe","company,newsletter","know,subscribe,company,newsletter",FALSE
5178,help me subscribing to ur company newsletter,"help,subscribing",newsletter,"help,subscribing,newsletter",FALSE
5179,unsubscribe to company newsletter,unsubscribe,"company,newsletter","unsubscribe,company,newsletter",FALSE
5180,can uhelp me cancel my subscription to ur newsletter,"uhelp,cancel",subscription,"uhelp,cancel,subscription",TRUE
5181,I do not know how to receive your newsletter,"know,receive",newsletter,"know,receive,newsletter",FALSE
5182,help me subscribing to your company newsletter,"help,subscribing","company,newsletter","help,subscribing,company,newsletter",FALSE
5183,can you help me to sign up to your company newsletter?,"help,sign","company,newsletter","help,sign,company,newsletter",FALSE
5184,cancel my subscription to your company newsletter,cancel,"subscription,company,newsletter","cancel,subscription,company,newsletter",TRUE
5185,I'm trying to subscribe to the newsletter,"trying,subscribe",newsletter,"trying,subscribe,newsletter",FALSE
5186,tell me more about unsubscribing to ur corporate newsletter,"tell,unsubscribing",newsletter,"tell,unsubscribing,newsletter",FALSE
5187,I try to unsubscribe to the corporate newsletter,"try,unsubscribe",newsletter,"try,unsubscribe,newsletter",FALSE
5188,i cannot unsubscribe to the coorporate newsletter,unsubscribe,newsletter,"unsubscribe,newsletter",FALSE
5189,"I have to sign up to the company newsletter, how do I do it?","have,sign,do","company,newsletter","have,sign,do,company,newsletter",FALSE
5190,need assistance unsubscribing to ur company newsletter,"need,unsubscribing","assistance,newsletter","need,unsubscribing,assistance,newsletter",FALSE
5191,i need assistance subscribing to the goddamn newsletter,"need,subscribing","assistance,goddamn,newsletter","need,subscribing,assistance,goddamn,newsletter",FALSE
5192,I can't cancel the company newsletter subscription,cancel,"company,newsletter,subscription","cancel,company,newsletter,subscription",TRUE
5193,i want help to unsubscribe to ur newsletter,"want,unsubscribe",help,"want,unsubscribe,help",FALSE
5194,I need information about the company newsletter subscription,need,"information,company,newsletter,subscription","need,information,company,newsletter,subscription",FALSE
5195,"I want to sign up to your newsletter , can you help me?","want,sign,help",newsletter,"want,sign,help,newsletter",FALSE
5196,I cannot cancel the subscription to your company newsletter,cancel,"subscription,company,newsletter","cancel,subscription,company,newsletter",TRUE
5197,I want to cancel the subscription to your company newsletter,"want,cancel","subscription,company,newsletter","want,cancel,subscription,company,newsletter",TRUE
5198,assistance to subscribe to your company newsletter,subscribe,"assistance,company,newsletter","subscribe,assistance,company,newsletter",FALSE
5199,I need help canceling the company newsletter subscription,"need,canceling","help,company,newsletter,subscription","need,canceling,help,company,newsletter,subscription",TRUE
5200,how to sign up to the newsletter?,sign,newsletter,"sign,newsletter",FALSE
5201,can you help me subscribe to your company newsletter?,"help,subscribe","company,newsletter","help,subscribe,company,newsletter",FALSE
5202,wanna receive the company newsletter,receive,"company,newsletter","receive,company,newsletter",FALSE
5203,"I have to unsubscribe to your bloody newsletter, I need help","have,unsubscribe,need","newsletter,help","have,unsubscribe,need,newsletter,help",FALSE
5204,"I need to unsubscribe from your newsletter, how do I do it?","need,unsubscribe,do",newsletter,"need,unsubscribe,do,newsletter",FALSE
5205,i cannot subscribe to ur company newsletter,subscribe,newsletter,"subscribe,newsletter",FALSE
5206,I need to cancel the company newsletter subscription,"need,cancel","company,newsletter,subscription","need,cancel,company,newsletter,subscription",TRUE
5207,information about cancel the company newsletter subscription,cancel,"information,company,newsletter,subscription","cancel,information,company,newsletter,subscription",TRUE
5208,wanna check the status of my newsletter subscription help me,"check,help","status,newsletter,subscription","check,help,status,newsletter,subscription",FALSE
5209,help me unsubscribing to your company newsletter,"help,unsubscribing","company,newsletter","help,unsubscribing,company,newsletter",FALSE
5210,I have to cancel the company newsletter subscription,"have,cancel","company,newsletter,subscription","have,cancel,company,newsletter,subscription",TRUE
5211,i have to unsubscribe from ur newsletter,"have,unsubscribe",newsletter,"have,unsubscribe,newsletter",FALSE
5212,need help to cancel the subscription to the newsletter,"need,cancel","help,subscription,newsletter","need,cancel,help,subscription,newsletter",TRUE
5213,how can I unsubscribe to the company newsletter?,unsubscribe,"company,newsletter","unsubscribe,company,newsletter",FALSE
5214,can you help me to subscribe to your corporate newsletter?,"help,subscribe",newsletter,"help,subscribe,newsletter",FALSE
5215,I want information about the company newsletter subscription,want,"information,company,newsletter,subscription","want,information,company,newsletter,subscription",FALSE
5216,canceling subscription to your company newsletter,canceling,"subscription,company,newsletter","canceling,subscription,company,newsletter",TRUE
5217,cancel my subscription to ur newsletter,cancel,subscription,"cancel,subscription",TRUE
5218,I want to know about subscribing to your company newsletter,"want,know,subscribing","company,newsletter","want,know,subscribing,company,newsletter",FALSE
5219,assistance cancelling the company newsletter subscription,cancelling,"assistance,company,newsletter,subscription","cancelling,assistance,company,newsletter,subscription",TRUE
5220,"I have got to unsubscribe to your newsletter, I need help","got,unsubscribe,need","newsletter,help","got,unsubscribe,need,newsletter,help",FALSE
5221,"I want to unsubscribe from your newsletter, I need help","want,unsubscribe,need","newsletter,help","want,unsubscribe,need,newsletter,help",FALSE
5222,want help subscribing to your company newsletter,"want,subscribing","help,company,newsletter","want,subscribing,help,company,newsletter",FALSE
5223,want help cancelling the suscription to your newsletter,"want,cancelling","help,suscription,newsletter","want,cancelling,help,suscription,newsletter",TRUE
5224,where to cancel my subscription to your newsletter?,cancel,"subscription,newsletter","cancel,subscription,newsletter",TRUE
5225,I need help canceling the newsletter subscription,"need,canceling","help,newsletter,subscription","need,canceling,help,newsletter,subscription",TRUE
5226,I cannot subscribe to your company newsletter,subscribe,"company,newsletter","subscribe,company,newsletter",FALSE
5227,tell me about canceling the company newsletter subscription,"tell,canceling","company,newsletter,subscription","tell,canceling,company,newsletter,subscription",TRUE
5228,wanna unsubscribe to ur newsletter can i get some hlp,"unsubscribe,get","newsletter,hlp","unsubscribe,get,newsletter,hlp",FALSE
5229,help cancelling the subscription to your company newsletter,"help,cancelling","subscription,company,newsletter","help,cancelling,subscription,company,newsletter",TRUE
5230,can utell me about cancel the subscription to the newsletter,"utell,cancel","subscription,newsletter","utell,cancel,subscription,newsletter",TRUE
5231,I have to subscribe to your company newsletter,"have,subscribe","company,newsletter","have,subscribe,company,newsletter",FALSE
5232,where to cancel the subscription to your company newsletter?,cancel,"subscription,company,newsletter","cancel,subscription,company,newsletter",TRUE
5233,I cannot unsubscribe to the company newsletter,unsubscribe,"company,newsletter","unsubscribe,company,newsletter",FALSE
5234,I try to cancel the company newsletter subscription,"try,cancel","company,newsletter,subscription","try,cancel,company,newsletter,subscription",TRUE
5235,i do not know how i can sign up to the company newsletter,"know,sign","company,newsletter","know,sign,company,newsletter",FALSE
5236,I do ont know how to sign up to the newsletter,"know,sign",newsletter,"know,sign,newsletter",FALSE
5237,want assistance canceling the subscription to ur newsletter,"want,canceling","assistance,subscription","want,canceling,assistance,subscription",TRUE
5238,i want assistance to unsubscribe to ur corporate newslettee,"want,unsubscribe","assistance,newslettee","want,unsubscribe,assistance,newslettee",FALSE
5239,i do not know how to unsubscribe to the newsleter,"know,unsubscribe",newsleter,"know,unsubscribe,newsleter",FALSE
5240,help to unsubscribe to your newsletter,"help,unsubscribe",newsletter,"help,unsubscribe,newsletter",FALSE
5241,how to cancel the subscription to your company newsletter?,cancel,"subscription,company,newsletter","cancel,subscription,company,newsletter",TRUE
5242,I would like to subscribe to your company newsletter,"like,subscribe","company,newsletter","like,subscribe,company,newsletter",FALSE
5243,receiving newsletter,receiving,newsletter,"receiving,newsletter",FALSE
5244,I need to cancel my company newsletter subscription,"need,cancel","company,newsletter,subscription","need,cancel,company,newsletter,subscription",TRUE
5245,tell me more about unsubscribing to your company newsletter,"tell,unsubscribing","company,newsletter","tell,unsubscribing,company,newsletter",FALSE
5246,where to cancel the company newsletter subscription?,cancel,"company,newsletter,subscription","cancel,company,newsletter,subscription",TRUE
5247,wanna know about canceling my newsletter subscription,"know,canceling","newsletter,subscription","know,canceling,newsletter,subscription",TRUE
5248,could you help me subscribing to the corporate newsletter?,"help,subscribing",newsletter,"help,subscribing,newsletter",FALSE
5249,how do I unsubscribe from your newsletter?,unsubscribe,newsletter,"unsubscribe,newsletter",FALSE
5250,I want to unsubscribe from your damn corporate newsletter,"want,unsubscribe",newsletter,"want,unsubscribe,newsletter",FALSE
5251,need help cancelling my newsletter subscription,"need,cancelling","help,newsletter,subscription","need,cancelling,help,newsletter,subscription",TRUE
5252,help me cancelling the company newsletter subscription,"help,cancelling","company,newsletter,subscription","help,cancelling,company,newsletter,subscription",TRUE
5253,i cannot unsubscribbe from ur company newsletter,unsubscribbe,newsletter,"unsubscribbe,newsletter",FALSE
5254,I have got to cancel the company newsletter subscription,"got,cancel","company,newsletter,subscription","got,cancel,company,newsletter,subscription",TRUE
5255,could I subscribe to your company newsletter?,subscribe,"company,newsletter","subscribe,company,newsletter",FALSE
5256,company newsletter subscription,,"company,newsletter,subscription",",company,newsletter,subscription",FALSE
5257,I can't subscribe to your company newsletter,subscribe,"company,newsletter","subscribe,company,newsletter",FALSE
5258,information about the company newsletter subscription,,"information,company,newsletter,subscription",",information,company,newsletter,subscription",FALSE
5259,can ya help me unsubscribe to the nedwsletter,"help,unsubscribe",,"help,unsubscribe,",FALSE
5260,help me to cancel the company newsletter subscription,"help,cancel","company,newsletter,subscription","help,cancel,company,newsletter,subscription",TRUE
5261,can you help me sign up to your newsletter?,"help,sign",newsletter,"help,sign,newsletter",FALSE
5262,help me cancel the subscription to the newsletter,"help,cancel","subscription,newsletter","help,cancel,subscription,newsletter",TRUE
5263,I donot know how I can unsubscribe from your newsletter,"know,unsubscribe",newsletter,"know,unsubscribe,newsletter",FALSE
5264,I don't know how to subscribe to your company newsletter,"know,subscribe","company,newsletter","know,subscribe,company,newsletter",FALSE
5265,help me cancel the subscription to your company newsletter,"help,cancel","subscription,company,newsletter","help,cancel,subscription,company,newsletter",TRUE
5266,i cannot cancel the subscription to ur corpolrate newsletter,cancel,"subscription,newsletter","cancel,subscription,newsletter",TRUE
5267,help signing up to ur company newsletter,"help,signing",newsletter,"help,signing,newsletter",FALSE
5268,help cancelling the company newsletter subscription,"help,cancelling","company,newsletter,subscription","help,cancelling,company,newsletter,subscription",TRUE
5269,I don't know what to do to receive your company newsletter,"know,do,receive","company,newsletter","know,do,receive,company,newsletter",FALSE
5270,help to receive ur newsletter,"help,receive",newsletter,"help,receive,newsletter",FALSE
5271,I want help canceling the company newsletter subscription,"want,canceling","help,company,newsletter,subscription","want,canceling,help,company,newsletter,subscription",TRUE
5272,could you tell me about the company newsletter subscription?,tell,"company,newsletter,subscription","tell,company,newsletter,subscription",FALSE
5273,tell me about the company newsletter subscription,tell,"company,newsletter,subscription","tell,company,newsletter,subscription",FALSE
5274,where could i subscribe to ur company newsletter,subscribe,newsletter,"subscribe,newsletter",FALSE
5275,assistance to cancel my corporate newsleter subscription,cancel,"assistance,subscription","cancel,assistance,subscription",TRUE
5276,help me to subscribe to the company newsletter,"help,subscribe","company,newsletter","help,subscribe,company,newsletter",FALSE
5277,I have got to cancel my corporate newsletter subscription,"got,cancel","newsletter,subscription","got,cancel,newsletter,subscription",TRUE
5278,assistance canceling the company newsletter subscription,canceling,"assistance,company,newsletter,subscription","canceling,assistance,company,newsletter,subscription",TRUE
5279,help me canceling the subscription  to ur newsletter,"help,canceling",subscription,"help,canceling,subscription",TRUE
5280,can I subscribe to your company newsletter?,subscribe,"company,newsletter","subscribe,company,newsletter",FALSE
5281,tell me about cancel the company newsletter subscription,"tell,cancel","company,newsletter,subscription","tell,cancel,company,newsletter,subscription",TRUE
5282,help me to unsubscribe to your corporate newsletter,"help,unsubscribe",newsletter,"help,unsubscribe,newsletter",FALSE
5283,how to see the status of my company newsletter subscription?,see,"status,company,newsletter,subscription","see,status,company,newsletter,subscription",FALSE
5284,subscribe to newsleter,"subscribe,newsleter",,"subscribe,newsleter,",FALSE
5285,show me the status of my company newsletter subscription,show,"status,company,newsletter,subscription","show,status,company,newsletter,subscription",FALSE
5286,i want help signing up to the corporate newsletter,"want,signing","help,newsletter","want,signing,help,newsletter",FALSE
5287,I want assistance receiving your corporate newsletter,"want,receiving","assistance,newsletter","want,receiving,assistance,newsletter",FALSE
5288,I want help to subscribe to your company newsletter,"want,subscribe","help,company,newsletter","want,subscribe,help,company,newsletter",FALSE
5289,where to subscribe to your company newsletter?,subscribe,"company,newsletter","subscribe,company,newsletter",FALSE
5290,find information about the company newsletter subscription,find,"information,company,newsletter,subscription","find,information,company,newsletter,subscription",FALSE
5291,I would like to cancel the company newsletter subscription,"like,cancel","company,newsletter,subscription","like,cancel,company,newsletter,subscription",TRUE
5292,assistance to cancel the company newsletter subscription,cancel,"assistance,company,newsletter,subscription","cancel,assistance,company,newsletter,subscription",TRUE
5293,where do I subscribe to your company newsletter?,subscribe,"company,newsletter","subscribe,company,newsletter",FALSE
5294,need help subscribing to your company nmewsletter,"need,subscribing","help,company","need,subscribing,help,company",FALSE
5295,where could i receive ur company newsletter,receive,newsletter,"receive,newsletter",FALSE
5296,subscription to ur company newsletter,,newsletter,",newsletter",FALSE
5297,I can't cancel the subscription to your company newsletter,cancel,"subscription,company,newsletter","cancel,subscription,company,newsletter",TRUE
5298,i want help signing up to the damn newsletter,"want,signing","help,newsletter","want,signing,help,newsletter",FALSE
5299,"I need to subscribe to the newsletter, how do I do it?","need,subscribe,do",newsletter,"need,subscribe,do,newsletter",FALSE
5300,I want help cancelling the company newsletter subscription,"want,cancelling","help,company,newsletter,subscription","want,cancelling,help,company,newsletter,subscription",TRUE
5301,I do not know how I can subscribe to your company newsletter,"know,subscribe","company,newsletter","know,subscribe,company,newsletter",FALSE
5302,where could I cancel the company newsletter subscription?,cancel,"company,newsletter,subscription","cancel,company,newsletter,subscription",TRUE
5303,I want to subscribe to your company newsletter,"want,subscribe","company,newsletter","want,subscribe,company,newsletter",FALSE
5304,cancel the subscription to your company newsletter,cancel,"subscription,company,newsletter","cancel,subscription,company,newsletter",TRUE
5305,"I need to subscribe to the newsletter,  how can I do it?","need,subscribe,do",newsletter,"need,subscribe,do,newsletter",FALSE
5306,could I cancel the subscription to your company newsletter?,cancel,"subscription,company,newsletter","cancel,subscription,company,newsletter",TRUE
5307,I need help cancelling the subscription to your newsletter,"need,cancelling","help,subscription,newsletter","need,cancelling,help,subscription,newsletter",TRUE
5308,I am trying to cancel the company newsletter subscription,"trying,cancel","company,newsletter,subscription","trying,cancel,company,newsletter,subscription",TRUE
5309,help to cancel the company newsletter subscription,"help,cancel","company,newsletter,subscription","help,cancel,company,newsletter,subscription",TRUE
5310,I want help subscribing to your company newsletter,"want,subscribing","help,company,newsletter","want,subscribing,help,company,newsletter",FALSE
5311,i cannot cancel my newsletter subscription,cancel,"newsletter,subscription","cancel,newsletter,subscription",TRUE
5312,tell me about cancel the subscription to ur newsletter,"tell,cancel",subscription,"tell,cancel,subscription",TRUE
5313,cancelling subscription to your company newsletter,cancelling,"subscription,company,newsletter","cancelling,subscription,company,newsletter",TRUE
5314,can you help me unsubscribing from the newsletter?,"help,unsubscribing",newsletter,"help,unsubscribing,newsletter",FALSE
5315,is it possible to subscribe to your company newsletter?,subscribe,"company,newsletter","subscribe,company,newsletter",FALSE
5316,receive ur newsletter,receive,newsletter,"receive,newsletter",FALSE
5317,I want to cancel the company newsletter subscription,"want,cancel","company,newsletter,subscription","want,cancel,company,newsletter,subscription",TRUE
5318,can you help me receiving the newsletter?,"help,receiving",newsletter,"help,receiving,newsletter",FALSE
5319,could you help me unsubscribe to the company newsletter?,"help,unsubscribe","company,newsletter","help,unsubscribe,company,newsletter",FALSE
5320,can I unsubscribe to your corporate newsletter?,unsubscribe,newsletter,"unsubscribe,newsletter",FALSE
5321,I want assistance subscribing to your company newsletter,"want,subscribing","assistance,company,newsletter","want,subscribing,assistance,company,newsletter",FALSE
5322,i dont know how i can unsubscribe from ur newsletter,"know,unsubscribe",newsletter,"know,unsubscribe,newsletter",FALSE
5323,assistance to unsubscribe to your company newsletter,unsubscribe,"assistance,company,newsletter","unsubscribe,assistance,company,newsletter",FALSE
5324,i need help seeing the status of my newsletter subscription,"need,seeing","help,status,newsletter,subscription","need,seeing,help,status,newsletter,subscription",FALSE
5325,can you help me to unsubscribe from the newsletter?,"help,unsubscribe",newsletter,"help,unsubscribe,newsletter",FALSE
5326,where do I cancel the company newsletter subscription?,cancel,"company,newsletter,subscription","cancel,company,newsletter,subscription",TRUE
5327,find information about subscribing to your newslewtter,"find,subscribing","information,newslewtter","find,subscribing,information,newslewtter",FALSE
5328,I needto unsubscribe to the newsletter,"needto,unsubscribe",newsletter,"needto,unsubscribe,newsletter",FALSE
5329,I  try to sign up to the company newsletter,"try,sign","company,newsletter","try,sign,company,newsletter",FALSE
5330,subscribing to company newsletter,subscribing,"company,newsletter","subscribing,company,newsletter",FALSE
5331,tell me about the subscription to your company newsletter,tell,"subscription,company,newsletter","tell,subscription,company,newsletter",FALSE
5332,I need to cancel the subscription to your company newsletter,"need,cancel","subscription,company,newsletter","need,cancel,subscription,company,newsletter",TRUE
5333,information about unsubscribing to your company newsletter,unsubscribing,"information,company,newsletter","unsubscribing,information,company,newsletter",FALSE
5334,help me to unsubscribe to ur company newsletter,"help,unsubscribe",newsletter,"help,unsubscribe,newsletter",FALSE
5335,help canceling the subscription to your company newsletter,"help,canceling","subscription,company,newsletter","help,canceling,subscription,company,newsletter",TRUE
5336,help me unsubscribe to your newsletter,"help,unsubscribe",newsletter,"help,unsubscribe,newsletter",FALSE
5337,can utell me more about my bloody newsletter subscription,utell,"newsletter,subscription","utell,newsletter,subscription",FALSE
5338,can you help me to subscribe to your company newsletter?,"help,subscribe","company,newsletter","help,subscribe,company,newsletter",FALSE
5339,where can I subscribe to your company newsletter?,subscribe,"company,newsletter","subscribe,company,newsletter",FALSE
5340,i need help canceling the subscription to the newsletter,"need,canceling","help,subscription,newsletter","need,canceling,help,subscription,newsletter",TRUE
5341,where can i subscribe to ur bloody companynewsletter,subscribe,,"subscribe,",FALSE
5342,help me cancel the company newsletter subscription,"help,cancel","company,newsletter,subscription","help,cancel,company,newsletter,subscription",TRUE
5343,I want help to cancel the company newsletter subscription,"want,cancel","help,company,newsletter,subscription","want,cancel,help,company,newsletter,subscription",TRUE
5344,"I want to unsubscribe to your newsletter, can you help me?","want,unsubscribe,help",newsletter,"want,unsubscribe,help,newsletter",FALSE
5345,I do not know what to do to sign up to your newsletter,"know,do,sign",newsletter,"know,do,sign,newsletter",FALSE
5346,I have to cancel the subscription to your company newsletter,"have,cancel","subscription,company,newsletter","have,cancel,subscription,company,newsletter",TRUE
5347,i have to cancel the newsletter subscripiton,"have,cancel","newsletter,subscripiton","have,cancel,newsletter,subscripiton",TRUE
5348,how to cancel the company newsletter subscription?,cancel,"company,newsletter,subscription","cancel,company,newsletter,subscription",TRUE
5349,how to cancel my subscription to the company newsletter,cancel,"subscription,company,newsletter","cancel,subscription,company,newsletter",TRUE
5350,tell me more about the company newsletter subscription,tell,"company,newsletter,subscription","tell,company,newsletter,subscription",FALSE
5351,where do I receive the newsletter?,receive,newsletter,"receive,newsletter",FALSE
5352,can you tell me about the company newsletter subscription?,tell,"company,newsletter,subscription","tell,company,newsletter,subscription",FALSE
5353,tell me about subscribing to your company newsletter,"tell,subscribing","company,newsletter","tell,subscribing,company,newsletter",FALSE
5354,I'm trying to unsubscribe to ur corporate newsletter,"trying,unsubscribe",newsletter,"trying,unsubscribe,newsletter",FALSE
5355,how could I subscribe to your company newsletter?,subscribe,"company,newsletter","subscribe,company,newsletter",FALSE
5356,cancel the company newsletter subscription,cancel,"company,newsletter,subscription","cancel,company,newsletter,subscription",TRUE
5357,where do I unsubscribe to the newsletter?,unsubscribe,newsletter,"unsubscribe,newsletter",FALSE
5358,i have to subscribe to ur company newsletter,"have,subscribe",newsletter,"have,subscribe,newsletter",FALSE
5359,how do I cancel the subscription to your company newsletter?,cancel,"subscription,company,newsletter","cancel,subscription,company,newsletter",TRUE
5360,could I cancel my newsletter subscription?,cancel,"newsletter,subscription","cancel,newsletter,subscription",TRUE
5361,assistance to receive the company newsletter,receive,"assistance,company,newsletter","receive,assistance,company,newsletter",FALSE
5362,can you help me cancel my corporate newsletter subscription?,"help,cancel","newsletter,subscription","help,cancel,newsletter,subscription",TRUE
5363,I do not know what to do to receive the corporate newsletter,"know,do,receive",newsletter,"know,do,receive,newsletter",FALSE
5364,is it possible to unsubscribe from ur company newsletter,unsubscribe,newsletter,"unsubscribe,newsletter",FALSE
5365,need help canceling the subscription to ur newsletter,"need,canceling","help,subscription","need,canceling,help,subscription",TRUE
5366,cancel subscription to your company newsletter,cancel,"subscription,company,newsletter","cancel,subscription,company,newsletter",TRUE
5367,i do not know how  to sign up to the corporate newsletter,"know,sign",newsletter,"know,sign,newsletter",FALSE
5368,tell me about unsubscribing to your company newsletter,"tell,unsubscribing","company,newsletter","tell,unsubscribing,company,newsletter",FALSE
5369,wanna subscribe to the damn newsletter how can i do it,"subscribe,do",newsletter,"subscribe,do,newsletter",FALSE
5370,I cannot check the status of my newsletter subscription,check,"status,newsletter,subscription","check,status,newsletter,subscription",FALSE
5371,assistance cancelling the newsletter subscription,cancelling,"assistance,newsletter,subscription","cancelling,assistance,newsletter,subscription",TRUE
5372,I cannot unsubscribe to your newsletter,unsubscribe,newsletter,"unsubscribe,newsletter",FALSE
5373,I need to cancel my newsletter subscription,"need,cancel","newsletter,subscription","need,cancel,newsletter,subscription",TRUE
5374,could I cancel the company newsletter subscription?,cancel,"company,newsletter,subscription","cancel,company,newsletter,subscription",TRUE
5375,need help canceling my subscription to your newsletter,"need,canceling","help,subscription,newsletter","need,canceling,help,subscription,newsletter",TRUE
5376,I try to cancel the subscription to your company newsletter,"try,cancel","subscription,company,newsletter","try,cancel,subscription,company,newsletter",TRUE
5377,"I need to subscribe to your newsletter, can you help me?","need,subscribe,help",newsletter,"need,subscribe,help,newsletter",FALSE
5378,can uhelp me signing up to the newsletter,"uhelp,signing",newsletter,"uhelp,signing,newsletter",FALSE
5379,"I have to sign up to your corporate newsletter, I need help","have,sign,need","newsletter,help","have,sign,need,newsletter,help",FALSE
5380,I want information about the subscription to the newsletter,want,"information,subscription,newsletter","want,information,subscription,newsletter",FALSE
5381,need help to unsubscribe to ur company newsletter,"need,unsubscribe","help,newsletter","need,unsubscribe,help,newsletter",FALSE
5382,i dont knowwhat to do to sign up to the newsletter,"do,do,sign",newsletter,"do,do,sign,newsletter",FALSE
5383,assistance subscribing to your company newsletter,subscribing,"assistance,company,newsletter","subscribing,assistance,company,newsletter",FALSE
5384,i have to unsubscribe to the newsletter can uheelp me,"have,unsubscribe,uheelp",newsletter,"have,unsubscribe,uheelp,newsletter",FALSE
5385,assistance cancelling my subscription to the newsletter,cancelling,"assistance,subscription,newsletter","cancelling,assistance,subscription,newsletter",TRUE
5386,how to subscribe to your company newsletter?,subscribe,"company,newsletter","subscribe,company,newsletter",FALSE
5387,I can't subscribe to hte newsletter,subscribe,,"subscribe,",FALSE
5388,i want assistance to sign up to ur company newsletter,"want,sign","assistance,newsletter","want,sign,assistance,newsletter",FALSE
5389,assistance cancelling the subscription tl the newsletter,cancelling,"assistance,subscription,newsletter","cancelling,assistance,subscription,newsletter",TRUE
5390,information about subscribing to your company newsletter,subscribing,"information,company,newsletter","subscribing,information,company,newsletter",FALSE
5391,tell me about cancelling the company newsletter subscription,"tell,cancelling","company,newsletter,subscription","tell,cancelling,company,newsletter,subscription",TRUE
5392,I'm trying to sign up to the company newsletter,"trying,sign","company,newsletter","trying,sign,company,newsletter",FALSE
5393,I need to subscribe to your company newsletter,"need,subscribe","company,newsletter","need,subscribe,company,newsletter",FALSE
5394,how do I cancel the company newsletter subscription?,cancel,"company,newsletter,subscription","cancel,company,newsletter,subscription",TRUE
5395,I don't know how I can subscribe to your company newsletter,"know,subscribe","company,newsletter","know,subscribe,company,newsletter",FALSE
5396,help cancelling the subscription to ur corporate newsletter,"help,cancelling","subscription,newsletter","help,cancelling,subscription,newsletter",TRUE
5397,i cannot  receive the company newsletter,receive,"company,newsletter","receive,company,newsletter",FALSE
5398,could ya help me receive the bloody newsletter,"help,receive",newsletter,"help,receive,newsletter",FALSE
5399,where could I subscribe to your company newsletter?,subscribe,"company,newsletter","subscribe,company,newsletter",FALSE
5400,subscription to your company newsletter,,"subscription,company,newsletter",",subscription,company,newsletter",FALSE
5401,I am trying to subscribe to your company newsletter,"trying,subscribe","company,newsletter","trying,subscribe,company,newsletter",FALSE
5402,subscribe to your company newsletter,subscribe,"company,newsletter","subscribe,company,newsletter",FALSE
5403,how can I subscribe to your company newsletter?,subscribe,"company,newsletter","subscribe,company,newsletter",FALSE
5404,how could I cancel the company newsletter subscription?,cancel,"company,newsletter,subscription","cancel,company,newsletter,subscription",TRUE
5405,I cannot  cancel my corporate newsletter subscription,cancel,"newsletter,subscription","cancel,newsletter,subscription",TRUE
5406,assistance to subscribe to your corporate newsletter,subscribe,"assistance,newsletter","subscribe,assistance,newsletter",FALSE
5407,can I cancel the subscription to your company newsletter?,cancel,"subscription,company,newsletter","cancel,subscription,company,newsletter",TRUE
5408,tell me more about subscribing to your company newsletter,"tell,subscribing","company,newsletter","tell,subscribing,company,newsletter",FALSE
5409,can you help me cancel the company newsletter subscription?,"help,cancel","company,newsletter,subscription","help,cancel,company,newsletter,subscription",TRUE
5410,help me canceling the company newsletter subscription,"help,canceling","company,newsletter,subscription","help,canceling,company,newsletter,subscription",TRUE
5411,unsubscribing to company newsletter,unsubscribing,"company,newsletter","unsubscribing,company,newsletter",FALSE
5412,i have got to unsubscribe from the company newsletter,"got,unsubscribe","company,newsletter","got,unsubscribe,company,newsletter",FALSE
5413,help subscribing to your company newsletter,"help,subscribing","company,newsletter","help,subscribing,company,newsletter",FALSE
5414,what do I have to do to sign up to the company newsletter?,"have,do,sign","company,newsletter","have,do,sign,company,newsletter",FALSE
5415,I want to know about the company newsletter subscription,"want,know","company,newsletter,subscription","want,know,company,newsletter,subscription",FALSE
5416,I want assistance to receive your corporate newsletter,"want,receive","assistance,newsletter","want,receive,assistance,newsletter",FALSE
5417,I need help subscribing to your company newsletter,"need,subscribing","help,company,newsletter","need,subscribing,help,company,newsletter",FALSE
5418,where to subscribe to ur corporate newsletter,subscribe,newsletter,"subscribe,newsletter",FALSE
5419,help me to subscribe to your company newsletter,"help,subscribe","company,newsletter","help,subscribe,company,newsletter",FALSE
5420,help to cancel the subscription to your company newsletter,"help,cancel","subscription,company,newsletter","help,cancel,subscription,company,newsletter",TRUE
