query,verbs,nouns,verb_noun,Subject,Intent,Sentiment
where do I check the status of my order?,check,"status,order","check,status,order",order,enquiry,Neutral
can i check the status of my order?,check,"status,order","check,status,order",order,enquiry,Neutral
where can I check the status of my order?,check,"status,order","check,status,order",order,enquiry,Neutral
can you check the status of my order?,check,"status,order","check,status,order",order,enquiry,Neutral
how can I check the status of my order?,check,"status,order","check,status,order",order,enquiry,Neutral
how do I check the status of my order?,check,"status,order","check,status,order",order,enquiry,Neutral
where to check the status of my order,check,"status,order","check,status,order",order,enquiry,Neutral
check the status of my order,check,"status,order","check,status,order",order,enquiry,Neutral
how can i check the status of my order?,check,"status,order","check,status,order",order,enquiry,Neutral
help tracking my order,"help,tracking",order,"help,tracking,order",order,enquiry,Positive
can you help me tracking my last order?,"help,tracking",order,"help,tracking,order",order,enquiry,Positive
could you help me tracking an order?,"help,tracking",order,"help,tracking,order",order,enquiry,Positive
can you help me tracking the last order?,"help,tracking",order,"help,tracking,order",order,enquiry,Positive
help tracking an order,"help,tracking",order,"help,tracking,order",order,enquiry,Positive
help me tracking the last order,"help,tracking",order,"help,tracking,order",order,enquiry,Positive
help tracking my last order,"help,tracking",order,"help,tracking,order",order,enquiry,Positive
can you help me tracking my order?,"help,tracking",order,"help,tracking,order",order,enquiry,Positive
could you help me tracking the last order?,"help,tracking",order,"help,tracking,order",order,enquiry,Positive
help me tracking an order,"help,tracking",order,"help,tracking,order",order,enquiry,Positive
help tracking the last order,"help,tracking",order,"help,tracking,order",order,enquiry,Positive
help me tracking my last order,"help,tracking",order,"help,tracking,order",order,enquiry,Positive
how do I check my order ETA?,check,order,"check,order",order,enquiry,Neutral
would it be possible to check my order ETA?,check,order,"check,order",order,enquiry,Neutral
how can I check my order ETA?,check,order,"check,order",order,enquiry,Neutral
how to check my order ETA?,check,order,"check,order",order,enquiry,Neutral
check order ETA,check,order,"check,order",order,enquiry,Neutral
where to check my order ETA?,check,order,"check,order",order,enquiry,Neutral
I can't check my order ETA,check,order,"check,order",order,enquiry,Neutral
check my order ETA,check,order,"check,order",order,enquiry,Neutral
where can I check my order ETA?,check,order,"check,order",order,enquiry,Neutral
check ETA of order,check,order,"check,order",order,enquiry,Neutral
is it possible to check my order ETA?,check,order,"check,order",order,enquiry,Neutral
where could I check my order ETA?,check,order,"check,order",order,enquiry,Neutral
I cannot check my order ETA,check,order,"check,order",order,enquiry,Neutral
could I check my order ETA?,check,order,"check,order",order,enquiry,Neutral
how could I check my order ETA?,check,order,"check,order",order,enquiry,Neutral
can I check my order ETA?,check,order,"check,order",order,enquiry,Neutral
how can I check my order?,check,order,"check,order",order,enquiry,Neutral
can I check my order?,check,order,"check,order",order,enquiry,Neutral
how to check my order,check,order,"check,order",order,enquiry,Neutral
check my order,check,order,"check,order",order,enquiry,Neutral
where do I check my order?,check,order,"check,order",order,enquiry,Neutral
is it possible to check my order?,check,order,"check,order",order,enquiry,Neutral
where to check my order,check,order,"check,order",order,enquiry,Neutral
where can I check my order?,check,order,"check,order",order,enquiry,Neutral
how do I check my order?,check,order,"check,order",order,enquiry,Neutral
I do not know what I need to do to track the last order,"know,need,do,track",order,"know,need,do,track,order",order,enquiry,Neutral
I don't know what I need to do to track the last order,"know,need,do,track",order,"know,need,do,track,order",order,enquiry,Neutral
I do not know what I need to do to track my order,"know,need,do,track",order,"know,need,do,track,order",order,enquiry,Neutral
I do not know what I need to do to track an order,"know,need,do,track",order,"know,need,do,track,order",order,enquiry,Neutral
I do not know what I need to do to track my last order,"know,need,do,track",order,"know,need,do,track,order",order,enquiry,Neutral
I don't know what I need to do to track my last order,"know,need,do,track",order,"know,need,do,track,order",order,enquiry,Neutral
I don't know what I need to do to track an order,"know,need,do,track",order,"know,need,do,track,order",order,enquiry,Neutral
could you help me track the last order?,"help,track",order,"help,track,order",order,enquiry,Positive
help me to track the last order,"help,track",order,"help,track,order",order,enquiry,Positive
can you help me to track an order?,"help,track",order,"help,track,order",order,enquiry,Positive
help me track an order,"help,track",order,"help,track,order",order,enquiry,Positive
could you help me to track an order?,"help,track",order,"help,track,order",order,enquiry,Positive
could you help me track my order?,"help,track",order,"help,track,order",order,enquiry,Positive
help me track my last order,"help,track",order,"help,track,order",order,enquiry,Positive
could you help me to track my last order?,"help,track",order,"help,track,order",order,enquiry,Positive
help me to track my last order,"help,track",order,"help,track,order",order,enquiry,Positive
could you help me to track my order?,"help,track",order,"help,track,order",order,enquiry,Positive
help me to track my order,"help,track",order,"help,track,order",order,enquiry,Positive
help to track an order,"help,track",order,"help,track,order",order,enquiry,Positive
help me to track an order,"help,track",order,"help,track,order",order,enquiry,Positive
can you help me to track my last order?,"help,track",order,"help,track,order",order,enquiry,Positive
could you help me to track the last order?,"help,track",order,"help,track,order",order,enquiry,Positive
help to track my order,"help,track",order,"help,track,order",order,enquiry,Positive
help me track my order,"help,track",order,"help,track,order",order,enquiry,Positive
can you help me to track my order?,"help,track",order,"help,track,order",order,enquiry,Positive
can you help me track my last order?,"help,track",order,"help,track,order",order,enquiry,Positive
help to track the last order,"help,track",order,"help,track,order",order,enquiry,Positive
could you help me track my last order?,"help,track",order,"help,track,order",order,enquiry,Positive
can you help me to track the last order?,"help,track",order,"help,track,order",order,enquiry,Positive
can you help me track the last order?,"help,track",order,"help,track,order",order,enquiry,Positive
help me track my order,"help,track",order,"help,track,order",order,enquiry,Positive
I am trying to track the last order,"trying,track",order,"trying,track,order",order,enquiry,Neutral
I am trying to track my last order,"trying,track",order,"trying,track,order",order,enquiry,Neutral
I am trying to track my order,"trying,track",order,"trying,track,order",order,enquiry,Neutral
I am trying to track an order,"trying,track",order,"trying,track,order",order,enquiry,Neutral
what do I have to do to track my order?,"have,do,track",order,"have,do,track,order",order,enquiry,Neutral
what do I have to do to track my last order?,"have,do,track",order,"have,do,track,order",order,enquiry,Neutral
what do I have to do to track the last order?,"have,do,track",order,"have,do,track,order",order,enquiry,Neutral
what do I have to do to track an order?,"have,do,track",order,"have,do,track,order",order,enquiry,Neutral
I don't know how to track the last order,"know,track",order,"know,track,order",order,enquiry,Neutral
I don't know how to track my last order,"know,track",order,"know,track,order",order,enquiry,Neutral
I do not know how I can track an order,"know,track",order,"know,track,order",order,enquiry,Neutral
I do not know how I could track the last order,"know,track",order,"know,track,order",order,enquiry,Neutral
I don't know how I could track the last order,"know,track",order,"know,track,order",order,enquiry,Neutral
I do not know how to track an order,"know,track",order,"know,track,order",order,enquiry,Neutral
I do not know how I can track the last order,"know,track",order,"know,track,order",order,enquiry,Neutral
I don't know how I could track my order,"know,track",order,"know,track,order",order,enquiry,Neutral
I don't know how I can track the last order,"know,track",order,"know,track,order",order,enquiry,Neutral
I do not know how to track the last order,"know,track",order,"know,track,order",order,enquiry,Neutral
I don't know how I could track my last order,"know,track",order,"know,track,order",order,enquiry,Neutral
I don't know how I could track an order,"know,track",order,"know,track,order",order,enquiry,Neutral
I do not know how I could track an order,"know,track",order,"know,track,order",order,enquiry,Neutral
I don't know how to track my order,"know,track",order,"know,track,order",order,enquiry,Neutral
I do not know how to track my order,"know,track",order,"know,track,order",order,enquiry,Neutral
I don't know how I can track my last order,"know,track",order,"know,track,order",order,enquiry,Neutral
I do not know what to do to track an order,"know,do,track",order,"know,do,track,order",order,enquiry,Neutral
I do not know what to do to track my order,"know,do,track",order,"know,do,track,order",order,enquiry,Neutral
I don't know what to do to track my last order,"know,do,track",order,"know,do,track,order",order,enquiry,Neutral
I don't know what to do to track an order,"know,do,track",order,"know,do,track,order",order,enquiry,Neutral
I do not know what to do to track my last order,"know,do,track",order,"know,do,track,order",order,enquiry,Neutral
I don't know what to do to track the last order,"know,do,track",order,"know,do,track,order",order,enquiry,Neutral
I do not know what to do to track the last order,"know,do,track",order,"know,do,track,order",order,enquiry,Neutral
I don't know what to do to track my order,"know,do,track",order,"know,do,track,order",order,enquiry,Neutral
I want to track an order,"want,track",order,"want,track,order",order,enquiry,Positive
I want to track my order,"want,track",order,"want,track,order",order,enquiry,Positive
I want to track the last order,"want,track",order,"want,track,order",order,enquiry,Positive
I want to track my order,"want,track",order,"want,track,order",order,enquiry,Positive
what do I need to do to track my last order?,"need,do,track",order,"need,do,track,order",order,enquiry,Neutral
what do I need to do to track an order?,"need,do,track",order,"need,do,track,order",order,enquiry,Neutral
what do I need to do to track my order?,"need,do,track",order,"need,do,track,order",order,enquiry,Neutral
I do not know what I have to do to track the last order,"know,have,do,track",order,"know,have,do,track,order",order,enquiry,Neutral
I do not know what I have to do to track my order,"know,have,do,track",order,"know,have,do,track,order",order,enquiry,Neutral
I don't know what I have to do to track my order,"know,have,do,track",order,"know,have,do,track,order",order,enquiry,Neutral
I do not know what I have to do to track my last order,"know,have,do,track",order,"know,have,do,track,order",order,enquiry,Neutral
I don't know what I have to do to track my last order,"know,have,do,track",order,"know,have,do,track,order",order,enquiry,Neutral
I do not know what I have to do to track an order,"know,have,do,track",order,"know,have,do,track,order",order,enquiry,Neutral
I have to track an order,"have,track",order,"have,track,order",order,enquiry,Neutral
I have to track the last order,"have,track",order,"have,track,order",order,enquiry,Neutral
I have to track my order,"have,track",order,"have,track,order",order,enquiry,Neutral
I have to track my last order,"have,track",order,"have,track,order",order,enquiry,Neutral
I would like to track the last order,"like,track",order,"like,track,order",order,enquiry,Positive
I would like to track my last order,"like,track",order,"like,track,order",order,enquiry,Positive
I would like to track an order,"like,track",order,"like,track,order",order,enquiry,Positive
I would like to track my order,"like,track",order,"like,track,order",order,enquiry,Positive
I have got to track the last order,"got,track",order,"got,track,order",order,enquiry,Neutral
I have got to track my last order,"got,track",order,"got,track,order",order,enquiry,Neutral
I have got to track my order,"got,track",order,"got,track,order",order,enquiry,Neutral
I try to track my order,"try,track",order,"try,track,order",order,enquiry,Neutral
I try to track an order,"try,track",order,"try,track,order",order,enquiry,Neutral
I try to track my last order,"try,track",order,"try,track,order",order,enquiry,Neutral
I need to track my order,"need,track",order,"need,track,order",order,enquiry,Neutral
I need to track the last order,"need,track",order,"need,track,order",order,enquiry,Neutral
I need to track my last order,"need,track",order,"need,track,order",order,enquiry,Neutral
track order,,"track,order",",track,order",order,enquiry,Neutral
can you tell me if i can regisger two accounts with a single email address?,"tell,regisger","accounts,email,address","tell,regisger,accounts,email,address",account,set_up,Neutral
"could you ask an agent how to open an account, please?","ask,open","agent,account","ask,open,agent,account",account,set_up,Positive
can u ask an agent where i can open an account?,"ask,open","agent,account","ask,open,agent,account",account,set_up,Neutral
"could you ask an agent how to open an online account, please?","ask,open","agent,account","ask,open,agent,account",account,set_up,Positive
can u ask an agent if i can open an online account?,"ask,open","agent,account","ask,open,agent,account",account,set_up,Neutral
"please , can u ask an agent if i could open an account?","ask,open","agent,account","ask,open,agent,account",account,set_up,Positive
"please, ask an agent if I can open an account","ask,open","agent,account","ask,open,agent,account",account,set_up,Positive
ask an agent how i can open an account,"ask,open","agent,account","ask,open,agent,account",account,set_up,Neutral
ask an agent where to open a online account,"ask,open","agent,account","ask,open,agent,account",account,set_up,Neutral
can u ask an agent how to open a online account ?,"ask,open","agent,account","ask,open,agent,account",account,set_up,Neutral
ask an agent how to open an online account,"ask,open","agent,account","ask,open,agent,account",account,set_up,Neutral
can u ask an agent if i can open an account?,"ask,open","agent,account","ask,open,agent,account",account,set_up,Neutral
"ask an agent where to open a fucking online account, please","ask,open","agent,account","ask,open,agent,account",account,set_up,Positive
can u ask an agent where i can open an online account?,"ask,open","agent,account","ask,open,agent,account",account,set_up,Neutral
ask an agent how i can open an online account,"ask,open","agent,account","ask,open,agent,account",account,set_up,Neutral
"please, ask an agent where to open an online account","ask,open","agent,account","ask,open,agent,account",account,set_up,Positive
ask an agent if i can open an online account,"ask,open","agent,account","ask,open,agent,account",account,set_up,Neutral
"i want an account, i need help opening one","want,need,opening","account,help","want,need,opening,account,help",account,set_up,Positive
"I want an online account, I need help opening one","want,need,opening","account,help","want,need,opening,account,help",account,set_up,Positive
"i want an online account, i need help opening one","want,need,opening","account,help","want,need,opening,account,help",account,set_up,Positive
"I want an account, I need help opening one","want,need,opening","account,help","want,need,opening,account,help",account,set_up,Positive
tell me if I can register  two online accounts with the same email,"tell,register","accounts,email","tell,register,accounts,email",account,set_up,Neutral
can you tell me if I can register several accounts with a single email?,"tell,register","accounts,email","tell,register,accounts,email",account,set_up,Neutral
can you tell me if I can register several online accounts with the same email?,"tell,register","accounts,email","tell,register,accounts,email",account,set_up,Neutral
can you tell me if I can register several accounts with the same email?,"tell,register","accounts,email","tell,register,accounts,email",account,set_up,Neutral
can you tell me if i can register two accounts with the same email?,"tell,register","accounts,email","tell,register,accounts,email",account,set_up,Neutral
"please, tell me if I can register two online accounts with a single email","tell,register","accounts,email","tell,register,accounts,email",account,set_up,Positive
tell me if I can register two accounts with the same email,"tell,register","accounts,email","tell,register,accounts,email",account,set_up,Neutral
"please, could you tell me if I could register two accounts with a single email?","tell,register","accounts,email","tell,register,accounts,email",account,set_up,Positive
"please, could you tell me if i could register several fucking accounts with a single email?","tell,register","accounts,email","tell,register,accounts,email",account,set_up,Positive
"please, can you tell me if i can register several accounts with a single email?","tell,register","accounts,email","tell,register,accounts,email",account,set_up,Positive
can you tell me if I can register two accounts with the same email?,"tell,register","accounts,email","tell,register,accounts,email",account,set_up,Neutral
can you tell me if I can register two accounts with a single email?,"tell,register","accounts,email","tell,register,accounts,email",account,set_up,Neutral
tell me if I can register several online accounts with a single email,"tell,register","accounts,email","tell,register,accounts,email",account,set_up,Neutral
"please, could you tell me if i can register wto accounts with the same email?","tell,register","accounts,email","tell,register,accounts,email",account,set_up,Positive
"tell me if I can register several accounts with the same email, please","tell,register","accounts,email","tell,register,accounts,email",account,set_up,Positive
can you tell me if I can register two online accounts with the same email?,"tell,register","accounts,email","tell,register,accounts,email",account,set_up,Neutral
tell me if I can register several online accounts wqith the same email,"tell,register","accounts,email","tell,register,accounts,email",account,set_up,Neutral
tell me if I can register several accounts with a single email,"tell,register","accounts,email","tell,register,accounts,email",account,set_up,Neutral
tell me if I can register two online accounts with a single email,"tell,register","accounts,email","tell,register,accounts,email",account,set_up,Neutral
can you tell me if i can register several online accounts with the same email?,"tell,register","accounts,email","tell,register,accounts,email",account,set_up,Neutral
tell me if I can register two accounts with a single email,"tell,register","accounts,email","tell,register,accounts,email",account,set_up,Neutral
can you tell me if I can register several online accounts with a single email?,"tell,register","accounts,email","tell,register,accounts,email",account,set_up,Neutral
"tell me if I could register two online accounts with the same email, please","tell,register","accounts,email","tell,register,accounts,email",account,set_up,Positive
can you tell me if I can register two online accounts with an single email?,"tell,register","accounts,email","tell,register,accounts,email",account,set_up,Neutral
"could you tell me if I could register several accounts with the same email, please?","tell,register","accounts,email","tell,register,accounts,email",account,set_up,Positive
can you tell me if i can register several accounts with a single email?,"tell,register","accounts,email","tell,register,accounts,email",account,set_up,Neutral
i want to know if i could create two profiles with the same email address,"want,know,create","profiles,email,address","want,know,create,profiles,email,address",account,set_up,Positive
I want to know if I can create several profiles with a single email address,"want,know,create","profiles,email,address","want,know,create,profiles,email,address",account,set_up,Positive
I want to know if I can create two profiles with the same email address,"want,know,create","profiles,email,address","want,know,create,profiles,email,address",account,set_up,Positive
I want to know if I can create several profiles with the same email address,"want,know,create","profiles,email,address","want,know,create,profiles,email,address",account,set_up,Positive
i want to know if i can create two profiles with the same email address,"want,know,create","profiles,email,address","want,know,create,profiles,email,address",account,set_up,Positive
can I create two online accounts with a single email?,create,"accounts,email","create,accounts,email",account,set_up,Positive
can I create two accounts with the same email?,create,"accounts,email","create,accounts,email",account,set_up,Positive
can i create two online accounts with the same email?,create,"accounts,email","create,accounts,email",account,set_up,Positive
can I create two online accounts with the same email?,create,"accounts,email","create,accounts,email",account,set_up,Positive
can I create two accounts with a single email?,create,"accounts,email","create,accounts,email",account,set_up,Positive
can I create several accounts with the same email?,create,"accounts,email","create,accounts,email",account,set_up,Positive
can I create several online accounts with a single email?,create,"accounts,email","create,accounts,email",account,set_up,Positive
can I create several online accounts with the same email?,create,"accounts,email","create,accounts,email",account,set_up,Positive
can I create several accounts with a single email?,create,"accounts,email","create,accounts,email",account,set_up,Positive
can i create several online accounts with a single email?,create,"accounts,email","create,accounts,email",account,set_up,Positive
"I don't have a user account, how do I create one?","have,create","user,account","have,create,user,account",account,set_up,Positive
"I have no user account, can I create one?","have,create","user,account","have,create,user,account",account,set_up,Negative
"I have no user account, how do I create one?","have,create","user,account","have,create,user,account",account,set_up,Negative
"I have no user account, create one","have,create","user,account","have,create,user,account",account,set_up,Negative
"I don't have a user account, can I create one?","have,create","user,account","have,create,user,account",account,set_up,Positive
"I have no user account, helpme create one","have,create","user,account","have,create,user,account",account,set_up,Negative
"I have no user account, could you create one, please?","have,create","user,account","have,create,user,account",account,set_up,Positive
"I don't have a user account, how can I create one?","have,create","user,account","have,create,user,account",account,set_up,Positive
"I don't have a user account, can you create one?","have,create","user,account","have,create,user,account",account,set_up,Positive
"I have no user account, how can I create one?","have,create","user,account","have,create,user,account",account,set_up,Negative
"I don't have a user account, create one","have,create","user,account","have,create,user,account",account,set_up,Positive
"I have no user account, create one, please","have,create","user,account","have,create,user,account",account,set_up,Positive
"I don't have an online account, I need help creating one","have,need,creating","account,help","have,need,creating,account,help",account,set_up,Positive
"I have no account, I need help creating one","have,need,creating","account,help","have,need,creating,account,help",account,set_up,Positive
"I have no online account, I need help creating one","have,need,creating","account,help","have,need,creating,account,help",account,set_up,Positive
"I don't have an account, I need help creating one","have,need,creating","account,help","have,need,creating,account,help",account,set_up,Positive
"I don't have an online account, I need help creating one, please","have,need,creating","account,help","have,need,creating,account,help",account,set_up,Positive
"i dont have an online account, i need help creating one","have,need,creating","account,help","have,need,creating,account,help",account,set_up,Positive
I want to know if I can register several user accounts with the same email address,"want,know,register","user,accounts,email,address","want,know,register,user,accounts,email,address",account,set_up,Positive
"i  want to know if i can register two user accounts with the same email address, please","want,know,register","user,accounts,email,address","want,know,register,user,accounts,email,address",account,set_up,Positive
I want to know if I can register two user accounts with the same email address,"want,know,register","user,accounts,email,address","want,know,register,user,accounts,email,address",account,set_up,Positive
i want ot know if i could register two user accounts with a single email address,"want,know,register","user,accounts,email,address","want,know,register,user,accounts,email,address",account,set_up,Positive
I want to know if I can register two user accounts with a single email address,"want,know,register","user,accounts,email,address","want,know,register,user,accounts,email,address",account,set_up,Positive
I want to know if I can register several user accounts with a single email address,"want,know,register","user,accounts,email,address","want,know,register,user,accounts,email,address",account,set_up,Positive
tell me if I could register two user accounts with a single email address,"tell,register","user,accounts,email,address","tell,register,user,accounts,email,address",account,set_up,Neutral
tell me if I can register two user accounts with a single email address,"tell,register","user,accounts,email,address","tell,register,user,accounts,email,address",account,set_up,Neutral
can you tell me if I can register several user accounts with the same email address?,"tell,register","user,accounts,email,address","tell,register,user,accounts,email,address",account,set_up,Neutral
tell me if I can register several user accounts with the same email address,"tell,register","user,accounts,email,address","tell,register,user,accounts,email,address",account,set_up,Neutral
can you tell me if I can register several user accounts with a single email address?,"tell,register","user,accounts,email,address","tell,register,user,accounts,email,address",account,set_up,Neutral
can you tell me if i can register two user accounts with the same email address?,"tell,register","user,accounts,email,address","tell,register,user,accounts,email,address",account,set_up,Neutral
can you tell me if i can register several user accounts with a single email address?,"tell,register","user,accounts,email,address","tell,register,user,accounts,email,address",account,set_up,Neutral
tell me if I can register two user accounts with the same email address,"tell,register","user,accounts,email,address","tell,register,user,accounts,email,address",account,set_up,Neutral
tell me if I can register several user accounts with a single email address,"tell,register","user,accounts,email,address","tell,register,user,accounts,email,address",account,set_up,Neutral
"I don't have a account, I need help opening one","have,need,opening","account,help","have,need,opening,account,help",account,set_up,Positive
"i dont have a account, i need help opening one","have,need,opening","account,help","have,need,opening,account,help",account,set_up,Positive
"I don't have an online account, I need help opening one","have,need,opening","account,help","have,need,opening,account,help",account,set_up,Positive
"I have no online account, I need help opening one","have,need,opening","account,help","have,need,opening,account,help",account,set_up,Positive
"i have no online account, i need help opening one, please","have,need,opening","account,help","have,need,opening,account,help",account,set_up,Positive
"i have no online account, i need help opening one","have,need,opening","account,help","have,need,opening,account,help",account,set_up,Positive
"I have no account, I need help opening one","have,need,opening","account,help","have,need,opening,account,help",account,set_up,Positive
"I haven't got a user account, can you register?","got,register","user,account","got,register,user,account",account,set_up,Neutral
"ive got no user account, register","got,register","user,account","got,register,user,account",account,set_up,Negative
"I've got no user account, can you register?","got,register","user,account","got,register,user,account",account,set_up,Negative
"I haven't got a user account, can I register?","got,register","user,account","got,register,user,account",account,set_up,Neutral
"I've got no user account, register","got,register","user,account","got,register,user,account",account,set_up,Negative
"I haven't got a user account, register","got,register","user,account","got,register,user,account",account,set_up,Neutral
"i havent got a user account, can u register?","got,register","user,account","got,register,user,account",account,set_up,Neutral
"I've got no user account, how can I register?","got,register","user,account","got,register,user,account",account,set_up,Negative
"I've got no user account, can I register?","got,register","user,account","got,register,user,account",account,set_up,Negative
"ive got no user account, can u register?","got,register","user,account","got,register,user,account",account,set_up,Negative
"I haven't got a user account, how can I register?","got,register","user,account","got,register,user,account",account,set_up,Neutral
"I've got no user account, how do I register?","got,register","user,account","got,register,user,account",account,set_up,Negative
"I haven't got a user account, how do I register?","got,register","user,account","got,register,user,account",account,set_up,Neutral
"I need an online account, how can I open one?","need,open",account,"need,open,account",account,set_up,Neutral
"I need an account, how do I open one?","need,open",account,"need,open,account",account,set_up,Neutral
"I need an account, how can I open one?","need,open",account,"need,open,account",account,set_up,Neutral
"I need a sure account, how can I open one?","need,open",account,"need,open,account",account,set_up,Positive
"I need an account, open one","need,open",account,"need,open,account",account,set_up,Neutral
"i need an online account, can u open one?","need,open",account,"need,open,account",account,set_up,Neutral
"I need an online account, can you open one?","need,open",account,"need,open,account",account,set_up,Neutral
"i need an account, how do i open one?","need,open",account,"need,open,account",account,set_up,Neutral
"i need an online account, how do i open one?","need,open",account,"need,open,account",account,set_up,Neutral
"I need an online account, how do I open one?","need,open",account,"need,open,account",account,set_up,Neutral
"I need an account, can I open one?","need,open",account,"need,open,account",account,set_up,Neutral
"i need an online account, how can i open one?","need,open",account,"need,open,account",account,set_up,Neutral
"I need an account, can you open one?","need,open",account,"need,open,account",account,set_up,Neutral
"I need an online account, can I open one?","need,open",account,"need,open,account",account,set_up,Neutral
"I need an online account, open one","need,open",account,"need,open,account",account,set_up,Neutral
"I don't have a profile, how do I create one?","have,create",profile,"have,create,profile",account,set_up,Positive
"i dont have a profile, can u create one?","have,create",profile,"have,create,profile",account,set_up,Positive
"I have no profile, can you create one?","have,create",profile,"have,create,profile",account,set_up,Negative
i dont have a profile and i wanna create one,"have,create",profile,"have,create,profile",account,set_up,Positive
"i dont have a profile, can i create one?","have,create",profile,"have,create,profile",account,set_up,Positive
"I don't have a profile, how can I create one?","have,create",profile,"have,create,profile",account,set_up,Positive
"I have no profile, can I create one?","have,create",profile,"have,create,profile",account,set_up,Negative
"i have no profile, how do i create one?","have,create",profile,"have,create,profile",account,set_up,Negative
"I don't have a profile, create one","have,create",profile,"have,create,profile",account,set_up,Positive
"I have no profile, how can I create one?","have,create",profile,"have,create,profile",account,set_up,Negative
"I don't have a profile, can you create one?","have,create",profile,"have,create,profile",account,set_up,Positive
"I have no profile, how od I create one?","have,create",profile,"have,create,profile",account,set_up,Negative
"I have no profile, create one","have,create",profile,"have,create,profile",account,set_up,Negative
tell me if I can register two accounts with a single email address,"tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Neutral
can you tell me if I can register several accounts with a single email address?,"tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Neutral
"could you tell me if i could register several online accounts with a single email address, please?","tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Positive
can you tell me if i could register several accounts with the same email address?,"tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Neutral
tell me if  can register several accounts with the same email address,"tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Neutral
tell me if I can register two online accounts with the same email address,"tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Neutral
"could you tell me if I could register two online accounts with a single email address, please?","tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Positive
can you tell me if i can register several accounts with a single email address?,"tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Neutral
tell me if I can register two accounts with the same email address,"tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Neutral
tell me if I can register several accounts with a single email address,"tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Neutral
"please, could you tell me if i could register several fucking online accounts with the same email address?","tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Positive
can you tell me if i can register several online accounts with the same email address?,"tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Neutral
"please, could you tell me if I could register several accounts with the same email address?","tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Positive
tell me if I can register several online accounts with the same email address,"tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Neutral
"please, could you tell me if I can register several accounts with a single email address?","tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Positive
can you tell me if I can register two online accounts with a single email address?,"tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Neutral
tell me if I can register several online accounts with a single email address,"tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Neutral
can you tell me if I can register several online accounts with a single email address?,"tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Neutral
can you tell me if I can register several online accounts with the same email address?,"tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Neutral
"please, can you tell me if i can register several fucking accounts with the same email address?","tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Positive
can you tell me if I can register several accounts with the same email address?,"tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Neutral
"please, could you tell me if I could register several accounts with a single email address?","tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Positive
"can you tell me if i could register two accounts with the same email address, please?","tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Positive
"tell me if I can register several online accounts with a single email address, please","tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Positive
can you tell me if I can register two accounts with a single email address?,"tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Neutral
can you tell me if I can register two accounts with the same email address?,"tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Neutral
tell me if I can register two online accounts with a single email address,"tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Neutral
"please, can you tell me if I could register several accounts with the same email address?","tell,register","accounts,email,address","tell,register,accounts,email,address",account,set_up,Positive
"ive got no online account, what can i do to register?","got,do,register",account,"got,do,register,account",account,enquiry,Negative
"I've got no account,  what can I do to register?","got,do,register",account,"got,do,register,account",account,enquiry,Negative
"I've got no fucking account, what can I do to register?","got,do,register",account,"got,do,register,account",account,enquiry,Negative
"ive got no account, what should i do to register?","got,do,register",account,"got,do,register,account",account,enquiry,Negative
"I haven't got an account, what can I do to register?","got,do,register",account,"got,do,register,account",account,enquiry,Neutral
"I haven't got an online account, what can I do to register?","got,do,register",account,"got,do,register,account",account,enquiry,Neutral
"I haven't got an account, what should I do to register?","got,do,register",account,"got,do,register,account",account,enquiry,Neutral
"I haven't got an online account, what should I do to register?","got,do,register",account,"got,do,register,account",account,enquiry,Neutral
"i havent got an account, what can i do to register?","got,do,register",account,"got,do,register,account",account,enquiry,Neutral
"ive got no account, what can i do to register?","got,do,register",account,"got,do,register,account",account,enquiry,Negative
"I've got no online account, what can I do to register?","got,do,register",account,"got,do,register,account",account,enquiry,Negative
"I've got no online account, what should I do to register?","got,do,register",account,"got,do,register,account",account,enquiry,Negative
"I've got no account, what should I do to register?","got,do,register",account,"got,do,register,account",account,enquiry,Negative
